"id","perfil","etiqueta","tipo","canal","nota","cc","osc","destino","salida","modo","min","max","argumento","formula","escenas"
"web.cc.players.1.seek","parte2-public-v1","Control público · Posición","cc","15","","19","","players.1.seek","control","range","0","1","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.1.slow","parte2-public-v1","Control público · Tiempo extra del ciclo (s)","cc","15","","20","","players.1.slow","control","range","0","60","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.1.speed","parte2-public-v1","Control público · Velocidad","cc","15","","21","","players.1.speed","control","range","0","4","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.1.start","parte2-public-v1","Control público · Entrada","cc","15","","22","","players.1.start","control","range","0","1","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.2.clip","parte2-public-v1","Control público · Secuencia","cc","15","","23","","players.2.clip","control","range","0","67","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.2.end","parte2-public-v1","Control público · Salida","cc","15","","24","","players.2.end","control","range","0","1","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.2.loop","parte2-public-v1","Control público · Loop","cc","15","","25","","players.2.loop","control","range","0","1","","CC >= 64",""
"web.cc.players.2.pingpong","parte2-public-v1","Control público · Ping-pong","cc","15","","26","","players.2.pingpong","control","range","0","1","","CC >= 64",""
"web.cc.players.2.playing","parte2-public-v1","Control público · Reproducir","cc","15","","27","","players.2.playing","control","range","0","1","","CC >= 64",""
"web.cc.players.2.reverse","parte2-public-v1","Control público · Reversa","cc","15","","28","","players.2.reverse","control","range","0","1","","CC >= 64",""
"web.cc.players.2.seek","parte2-public-v1","Control público · Posición","cc","15","","29","","players.2.seek","control","range","0","1","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.2.slow","parte2-public-v1","Control público · Tiempo extra del ciclo (s)","cc","15","","30","","players.2.slow","control","range","0","60","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.2.speed","parte2-public-v1","Control público · Velocidad","cc","15","","31","","players.2.speed","control","range","0","4","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.2.start","parte2-public-v1","Control público · Entrada","cc","15","","32","","players.2.start","control","range","0","1","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.3.clip","parte2-public-v1","Control público · Secuencia","cc","15","","33","","players.3.clip","control","range","0","67","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.3.end","parte2-public-v1","Control público · Salida","cc","15","","34","","players.3.end","control","range","0","1","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.3.loop","parte2-public-v1","Control público · Loop","cc","15","","35","","players.3.loop","control","range","0","1","","CC >= 64",""
"web.cc.players.3.pingpong","parte2-public-v1","Control público · Ping-pong","cc","15","","36","","players.3.pingpong","control","range","0","1","","CC >= 64",""
"web.cc.players.3.playing","parte2-public-v1","Control público · Reproducir","cc","15","","37","","players.3.playing","control","range","0","1","","CC >= 64",""
"web.cc.players.3.reverse","parte2-public-v1","Control público · Reversa","cc","15","","38","","players.3.reverse","control","range","0","1","","CC >= 64",""
"web.cc.players.3.seek","parte2-public-v1","Control público · Posición","cc","15","","39","","players.3.seek","control","range","0","1","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.3.slow","parte2-public-v1","Control público · Tiempo extra del ciclo (s)","cc","15","","40","","players.3.slow","control","range","0","60","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.3.speed","parte2-public-v1","Control público · Velocidad","cc","15","","41","","players.3.speed","control","range","0","4","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.3.start","parte2-public-v1","Control público · Entrada","cc","15","","42","","players.3.start","control","range","0","1","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.4.clip","parte2-public-v1","Control público · Secuencia","cc","15","","43","","players.4.clip","control","range","0","67","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.4.end","parte2-public-v1","Control público · Salida","cc","15","","44","","players.4.end","control","range","0","1","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.4.loop","parte2-public-v1","Control público · Loop","cc","15","","45","","players.4.loop","control","range","0","1","","CC >= 64",""
"web.cc.players.4.pingpong","parte2-public-v1","Control público · Ping-pong","cc","15","","46","","players.4.pingpong","control","range","0","1","","CC >= 64",""
"web.cc.players.4.playing","parte2-public-v1","Control público · Reproducir","cc","15","","47","","players.4.playing","control","range","0","1","","CC >= 64",""
"web.cc.players.4.reverse","parte2-public-v1","Control público · Reversa","cc","15","","48","","players.4.reverse","control","range","0","1","","CC >= 64",""
"web.cc.players.4.seek","parte2-public-v1","Control público · Posición","cc","15","","49","","players.4.seek","control","range","0","1","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.4.slow","parte2-public-v1","Control público · Tiempo extra del ciclo (s)","cc","15","","50","","players.4.slow","control","range","0","60","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.4.speed","parte2-public-v1","Control público · Velocidad","cc","15","","51","","players.4.speed","control","range","0","4","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.4.start","parte2-public-v1","Control público · Entrada","cc","15","","52","","players.4.start","control","range","0","1","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.5.clip","parte2-public-v1","Control público · Secuencia","cc","15","","53","","players.5.clip","control","range","0","67","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.5.end","parte2-public-v1","Control público · Salida","cc","15","","54","","players.5.end","control","range","0","1","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.5.loop","parte2-public-v1","Control público · Loop","cc","15","","55","","players.5.loop","control","range","0","1","","CC >= 64",""
"web.cc.players.5.pingpong","parte2-public-v1","Control público · Ping-pong","cc","15","","56","","players.5.pingpong","control","range","0","1","","CC >= 64",""
"web.cc.players.5.playing","parte2-public-v1","Control público · Reproducir","cc","15","","57","","players.5.playing","control","range","0","1","","CC >= 64",""
"web.cc.players.5.reverse","parte2-public-v1","Control público · Reversa","cc","15","","58","","players.5.reverse","control","range","0","1","","CC >= 64",""
"web.cc.players.5.seek","parte2-public-v1","Control público · Posición","cc","15","","59","","players.5.seek","control","range","0","1","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.5.slow","parte2-public-v1","Control público · Tiempo extra del ciclo (s)","cc","15","","60","","players.5.slow","control","range","0","60","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.5.speed","parte2-public-v1","Control público · Velocidad","cc","15","","61","","players.5.speed","control","range","0","4","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.players.5.start","parte2-public-v1","Control público · Entrada","cc","15","","62","","players.5.start","control","range","0","1","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.scene.automation","parte2-public-v1","Control público · Automatización original por escena","cc","15","","63","","scene.automation","control","range","0","1","","CC >= 64",""
"web.cc.scene.current","parte2-public-v1","Control público · Escena vvvv","cc","15","","64","","scene.current","control","range","0","127","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.transport.bpm","parte2-public-v1","Control público · Tempo","cc","15","","65","","transport.bpm","control","range","20","300","","min + CC / 127 × (max − min); registry rounds integers",""
"web.cc.transport.followMidi","parte2-public-v1","Control público · Seguir Start / Stop MIDI","cc","15","","66","","transport.followMidi","control","range","0","1","","CC >= 64",""
"web.cc.transport.playing","parte2-public-v1","Control público · Reproducir","cc","15","","67","","transport.playing","control","range","0","1","","CC >= 64",""
"web.cc.transport.rate","parte2-public-v1","Control público · Pasos de efectos / s","cc","15","","68","","transport.rate","control","range","0","1","","CC / 127 → registry enum bins",""
"web.cc.transport.sync","parte2-public-v1","Control público · Reloj","cc","15","","69","","transport.sync","control","range","0","1","","CC / 127 → registry enum bins",""
"web.note.final.explode","parte2-public-v1","Acción pública · Disparar explosión","note","16","0","","","final.explode","action","trigger","","","true","",""
"web.note.ink.trigger","parte2-public-v1","Acción pública · Disparar INK","note","16","1","","","ink.trigger","action","trigger","","","true","",""
"web.note.kick","parte2-public-v1","Acción pública · Kick","note","16","2","","","kick","action","trigger","","","true","",""
"web.note.kick1","parte2-public-v1","Acción pública · Kick 1 · señal publicada","note","16","3","","","kick1","action","trigger","","","true","",""
"web.note.milky.seed","parte2-public-v1","Acción pública · Inyectar semilla","note","16","4","","","milky.seed","action","trigger","","","true","",""
"web.note.output.blackoutToggle","parte2-public-v1","Acción pública · Alternar blackout","note","16","5","","","output.blackoutToggle","action","trigger","","","true","",""
"web.note.percussion","parte2-public-v1","Acción pública · Percusión · señal publicada","note","16","6","","","percussion","action","trigger","","","true","",""
"web.note.scene.goto","parte2-public-v1","Acción pública · Ir a escena","note","16","7","","","scene.goto","action","trigger","","","69","",""
"web.note.snare","parte2-public-v1","Acción pública · Snare","note","16","8","","","snare","action","trigger","","","true","",""
"web.note.transport.continue","parte2-public-v1","Acción pública · Continue","note","16","9","","","transport.continue","action","trigger","","","true","",""
"web.note.transport.position","parte2-public-v1","Acción pública · Posición MIDI (pulsos)","note","16","10","","","transport.position","action","trigger","","","0","",""
"web.note.transport.reset","parte2-public-v1","Acción pública · Reiniciar todo","note","16","11","","","transport.reset","action","trigger","","","true","",""
"web.note.transport.start","parte2-public-v1","Acción pública · Start","note","16","12","","","transport.start","action","trigger","","","true","",""
"web.note.transport.stop","parte2-public-v1","Acción pública · Stop","note","16","13","","","transport.stop","action","trigger","","","true","",""
